lattice-64.cs.colostate. up   7 days,  2:15,    load average: 0.00 0.00 0.00
hickory.cs.colostate.edu up           10:22,    load average: 0.00 0.00 0.00
lattice-57.cs.colostate. up   7 days,  2:16,    load average: 0.00 0.00 0.00
eggplant.cs.colostate.ed up  12 days,  2:00,    load average: 1.00 1.00 1.00
lattice-49.cs.colostate. up   8 days,  1:20,    load average: 0.01 0.00 0.00
lattice-65.cs.colostate. up   7 days,  2:15,    load average: 0.00 0.00 0.00
lattice-59.cs.colostate. up   7 days,  2:17,    load average: 0.00 0.00 0.00
lattice-70.cs.colostate. up   7 days,  1:37,    load average: 0.00 0.00 0.00
dates.cs.colostate.edu   up  10 days, 23:11,    load average: 3.16 2.64 1.97
copper.cs.colostate.edu  up   6 days,  7:29,    load average: 0.02 0.13 0.20
lattice-74.cs.colostate. up   7 days,  1:36,    load average: 0.00 0.00 0.00
lattice-61.cs.colostate. up   7 days,  2:16,    load average: 0.00 0.00 0.00
lattice-71.cs.colostate. up   7 days,  2:14,    load average: 0.00 0.01 0.00
depuy.cs.colostate.edu   up   4 days,  4:02,    load average: 1.01 0.62 0.37
lattice-68.cs.colostate. up   7 days,  2:18,    load average: 0.00 0.00 0.00
lattice-55.cs.colostate. up   7 days,  2:21,    load average: 0.00 0.00 0.00
bangkok.cs.colostate.edu up  16 days, 23:42,    load average: 0.10 0.12 0.10
santa-fe.cs.colostate.ed up  17 days,  1:44,    load average: 1.00 1.00 1.00
beech.cs.colostate.edu   up  16 days, 23:38,    load average: 0.00 0.00 0.00
singapore.cs.colostate.e up  16 days, 23:30,    load average: 0.75 0.68 0.48
pili.cs.colostate.edu    up  16 days, 21:36,    load average: 0.00 0.01 0.08
brazil.cs.colostate.edu  up  16 days, 23:27,    load average: 0.00 0.00 0.00
lattice-73.cs.colostate. up            2:44,    load average: 0.12 0.12 0.10
uncompahgre.cs.colostate up            1:04,    load average: 0.00 0.00 0.04
bacon.cs.colostate.edu   up  46 days, 28 mins,  load average: 1.00 1.00 1.00
eggs.cs.colostate.edu    up  46 days, 27 mins,  load average: 1.02 1.01 1.00
damavand.cs.colostate.ed up  42 days,  7:52,    load average: 1.00 1.00 1.00
popo-agie.cs.colostate.e up  10 days, 22:52,    load average: 0.02 0.02 0.00
coconut.cs.colostate.edu up  16 days, 21:36,    load average: 0.28 0.18 0.33
oak                      up  15 days,  5:29,    load average: 0.00 0.00 0.00
lattice-116.cs.colostate up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-77.cs.colostate. up   7 days,  1:36,    load average: 0.00 0.00 0.00
lattice-96.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-97.cs.colostate. up  46 days, 34 mins,  load average: 0.00 0.00 0.00
lattice-69.cs.colostate. up   7 days,  1:38,    load average: 0.06 0.01 0.00
